fight_id,r_fighter,r_current_streak,r_avg_sig_str_landed,r_avg_opp_sig_str_landed,r_total_time_fought_seconds,r_stance,r_height_cms,r_reach_cms,r_age,r_record,r_takedown_diff,b_fighter,b_current_streak,b_avg_sig_str_landed,b_avg_opp_sig_str_landed,b_total_time_fought_seconds,b_stance,b_height_cms,b_reach_cms,b_age,b_record,b_takedown_diff,winner,title_bout
5144,Henry Cejudo,4,44,32.2,742.6,Orthodox,162.56,162.56,32,6,1.8,Marlon Moraes,4,22.6,18.2,419.4,Orthodox,167.64,170.18,31,3,-0.2,Red,t
5143,Valentina Shevchenko,2,59.42857143,44.71428571,1062,Southpaw,165.1,167.64,31,3,1.571428571,Jessica Eye,3,51.3,48.5,849,Orthodox,167.64,167.64,32,-2,-0.4,Red,t
5142,Tony Ferguson,11,55.46666667,35.73333333,604.4,Orthodox,180.34,193.04,35,13,-0.266666667,Donald Cerrone,3,46.77419355,44.83870968,581.8709677,Orthodox,185.42,185.42,36,15,0.451612903,Red,f
5141,Jimmie Rivera,-1,45.75,44.875,690.25,Orthodox,162.56,172.72,29,4,0.625,Petr Yan,4,70.25,31.75,652,Switch,170.18,170.18,26,4,0.5,Blue,f
5140,Tai Tuivasa,-1,32.5,22.5,440.75,Southpaw,187.96,190.5,26,2,0,Blagoy Ivanov,1,61.5,90,1200,Southpaw,180.34,185.42,32,0,0,Blue,f
5139,Tatiana Suarez,4,42.75,6.5,540,,165.1,167.64,28,4,4.5,Nina Ansaroff,4,75.16666667,48.83333333,886.5,Orthodox,165.1,162.56,33,2,-0.833333333,Red,f
5138,Aljamain Sterling,3,52.25,18.08333333,750.6666667,Orthodox,170.18,180.34,29,6,0.666666667,Pedro Munhoz,3,41.5,44.16666667,495.25,Orthodox,167.64,165.1,32,4,0.083333333,Red,f
5137,Karolina Kowalkiewicz,-2,73.55555556,67.33333333,800.1111111,Orthodox,160.02,162.56,33,1,-0.666666667,Alexa Grasso,-1,53.75,36.75,716,Orthodox,165.1,167.64,25,0,-1.75,Blue,f
5136,Ricardo Lamas,1,32.26666667,29.26666667,624.0666667,Orthodox,172.72,180.34,37,5,-0.066666667,Calvin Kattar,1,56.25,74.5,670.75,Orthodox,180.34,182.88,31,2,0.25,Blue,f
5135,Yan Xiaonan,3,105.6666667,60.66666667,900,Orthodox,165.1,160.02,29,3,-0.666666667,Angela Hill,1,74.3,65.1,763.1,Orthodox,160.02,162.56,34,-2,-0.9,Red,f
5134,Bevon Lewis,-1,68,39,692,Orthodox,190.5,200.66,28,-1,0,Darren Stewart,-1,24.14285714,21.71428571,488.7142857,Orthodox,182.88,187.96,28,-3,-1.285714286,Blue,f
5133,Eddie Wineland,-2,35.75,43.5,668,Orthodox,170.18,175.26,34,-2,-0.083333333,Grigorii Popov,0,,,,Switch,170.18,172.72,35,0,0,Red,f
5132,Katlyn Chookagian,-1,61.16666667,63.16666667,900,Orthodox,175.26,172.72,30,2,-1.166666667,Joanne Calderwood,2,61.375,43.375,628.625,Orthodox,167.64,165.1,33,2,0.375,Red,f
5131,Alexander Gustafsson,-1,44.2,38.66666667,660.8666667,Orthodox,195.58,200.66,32,5,0.733333333,Anthony Smith,-1,33.18181818,47.45454545,625,Orthodox,193.04,193.04,30,3,-1.090909091,Blue,f
5130,Jimi Manuwa,-3,26.09090909,30.27272727,455.7272727,Orthodox,185.42,200.66,39,1,-0.545454545,Aleksandar Rakic,3,60.33333333,18.33333333,681.6666667,Orthodox,193.04,198.12,27,3,0.333333333,Blue,f
5129,Makwan Amirkhani,1,16.4,15,561.8,Southpaw,177.8,182.88,30,3,1.8,Chris Fishgold,1,17,20.5,310.5,Orthodox,172.72,172.72,26,0,2.5,Red,f
5128,Damir Hadzovic,2,34.8,30.2,610.8,Orthodox,175.26,177.8,32,1,-2.2,Christos Giagos,1,19.8,17.2,558.2,Orthodox,177.8,180.34,29,-1,-0.2,Blue,f
5127,Daniel Teymur,-3,41,56.66666667,681.6666667,Orthodox,165.1,175.26,31,-3,-1.666666667,Sung Bin Jo,0,,,,Orthodox,182.88,182.88,26,0,0,Red,f
5126,Rostem Akman,0,,,,Switch,177.8,182.88,27,0,0,Sergey Khandozhko,0,,,,Orthodox,185.42,187.96,27,0,0,Blue,f
5125,Tonya Evinger,-2,20.5,62,461,Orthodox,170.18,177.8,37,-2,0.5,Lina Lansberg,-1,43.6,63.8,720.4,Orthodox,170.18,165.1,37,-1,-1.6,Blue,f
5124,Stevie Ray,1,40.22222222,29.22222222,686.8888889,Southpaw,177.8,177.8,29,3,-0.777777778,Leonardo Santos,4,25.16666667,28.83333333,656.3333333,Orthodox,182.88,190.5,39,4,0.5,Blue,f
5123,Nick Hein,-2,34.14285714,39.42857143,807.8571429,Southpaw,167.64,167.64,35,1,0.428571429,Frank Camacho,-2,95,102.6666667,727.6666667,Orthodox,177.8,185.42,30,-1,0.666666667,Blue,f
5122,Bea Malecki,0,,,,Orthodox,175.26,187.96,27,0,0,Duda Santana,0,,,,Orthodox,170.18,185.42,23,0,0,Red,f
5121,Darko Stosic,1,9,4,193,Orthodox,182.88,193.04,27,1,0,Devin Clark,-1,35.5,32.33333333,620.6666667,Orthodox,182.88,190.5,29,0,2,Blue,f
5120,Joel Alvarez,-1,38,64,900,Orthodox,190.5,195.58,25,-1,0,Danilo Belluardo,0,,,,Southpaw,182.88,187.96,24,0,0,Red,f
5119,Rafael Dos Anjos,-2,47.92307692,44.03846154,794.7692308,Southpaw,172.72,177.8,34,8,0.230769231,Kevin Lee,-1,49.07142857,38.42857143,724.8571429,Orthodox,175.26,195.58,26,6,2.071428571,Red,f
5118,Antonio Carlos Junior,4,23,19.44444444,634.2222222,Orthodox,187.96,200.66,29,3,2.222222222,Ian Heinisch,1,55,26,900,Orthodox,180.34,182.88,30,1,-4,Blue,f
5117,Megan Anderson,1,14.5,25,480.5,Orthodox,182.88,182.88,29,0,-2,Felicia Spencer,0,,,,Orthodox,167.64,172.72,28,0,0,Blue,f
5116,Vicente Luque,4,38.8,35.3,453.4,Orthodox,180.34,190.5,27,6,-0.4,Derrick Krantz,0,,,,Orthodox,177.8,182.88,31,0,0,Red,f
5115,Charles Oliveira,4,20.56521739,20.26086957,400.5652174,Orthodox,177.8,187.96,29,5,0.695652174,Nik Lentz,2,43.90909091,38.13636364,754.9090909,Orthodox,172.72,172.72,34,6,1,Red,f
5114,Davi Ramos,3,25,21.75,480.5,Orthodox,167.64,177.8,32,2,1.75,Austin Hubbard,0,,,,Orthodox,177.8,180.34,27,0,0,Red,f
5113,Aspen Ladd,2,38,25,329.5,Orthodox,167.64,167.64,24,2,0.5,Sijara Eubanks,2,66,38.5,900,,162.56,170.18,34,2,2,Red,f
5112,Desmond Green,1,44.33333333,29.66666667,778.6666667,Southpaw,177.8,185.42,29,0,0,Charles Jourdain,0,,,,Switch,175.26,175.26,23,0,0,Red,f
5111,Danny Roberts,-1,30.875,28,541.625,Southpaw,185.42,187.96,31,2,-1.75,Michel Pereira,0,,,,Orthodox,185.42,185.42,25,0,0,Blue,f
5110,Michael Trizano,2,46.5,26,900,Orthodox,180.34,180.34,27,2,-0.5,Grant Dawson,1,57,49,900,Switch,177.8,182.88,25,1,6,Blue,f
5109,Patrick Cummins,-2,39.66666667,31.66666667,565.8333333,Orthodox,187.96,193.04,38,0,1.583333333,Ed Herman,-3,29.71428571,28.28571429,560.4761905,Orthodox,185.42,195.58,38,-1,0.571428571,Blue,f
5108,Zak Cummings,1,28.9,28.4,619.3,Southpaw,182.88,190.5,34,4,0,Trevin Giles,2,55.5,11.5,610.5,Orthodox,182.88,187.96,26,2,1.5,Red,f
5107,Julio Arce,-1,53.33333333,34.66666667,858.3333333,Southpaw,170.18,177.8,29,1,0,Julian Erosa,-3,32.5,37.25,545,Southpaw,185.42,187.96,29,-2,-1.5,Red,f
5106,Rose Namajunas,3,47.625,47.625,768.5,Orthodox,165.1,165.1,26,4,1.25,Jessica Andrade,3,72.85714286,55.71428571,663.8571429,Orthodox,154.94,157.48,27,6,1.642857143,Blue,t
5105,Jared Cannonier,1,32.375,25.25,535.375,Switch,180.34,195.58,35,0,-1.875,Anderson Silva,-1,33.52173913,27,651.2608696,Southpaw,187.96,195.58,44,11,-0.652173913,Red,f
5104,Jose Aldo,2,54.30769231,55.76923077,975.3076923,Orthodox,170.18,177.8,32,7,0.461538462,Alexander Volkanovski,6,72,31,712.8333333,Orthodox,167.64,180.34,30,6,1.666666667,Blue,f
5103,Thiago Alves,1,41.4,37.52,669.56,Orthodox,175.26,177.8,35,5,-1.24,Laureano Staropoli,1,97,69,900,Orthodox,185.42,180.34,26,1,0,Blue,f
5102,Irene Aldana,2,95.25,106.25,900,Orthodox,175.26,172.72,31,0,0.25,Bethe Correia,-2,50.75,45.25,702.375,Orthodox,165.1,162.56,35,0,0.125,Red,f
5101,Rogerio Nogueira,1,26.27272727,29.90909091,576.1818182,Southpaw,187.96,190.5,42,1,-1.727272727,Ryan Spann,1,46,30,900,Orthodox,195.58,200.66,27,1,-4,Blue,f
5100,Thiago Moises,-1,8,44,900,Orthodox,175.26,177.8,24,-1,-4,Kurt Holobaugh,-3,54.66666667,49.66666667,573.3333333,Orthodox,180.34,177.8,32,-3,-0.666666667,Red,f
5099,Warlley Alves,-1,31.55555556,44.77777778,656.6666667,Orthodox,180.34,182.88,28,3,0.555555556,Sergio Moraes,-1,30.16666667,39.83333333,730.9166667,Orthodox,182.88,182.88,36,4,1,Red,f
5098,BJ Penn,-7,35.96153846,44.57692308,787.5769231,Orthodox,175.26,177.8,40,-2,-0.269230769,Clay Guida,-1,28.15384615,28.30769231,702.1538462,Orthodox,170.18,177.8,37,2,1.846153846,Blue,f
5097,Luana Carolina,0,,,,Orthodox,167.64,175.26,25,0,0,Priscila Cachoeira,-2,38.5,101,732.5,Orthodox,170.18,165.1,30,-2,-2,Red,f
5096,Raoni Barcelos,2,58.5,64,620.5,Orthodox,170.18,170.18,32,2,2,Carlos Huachin,0,,,,Southpaw,162.56,170.18,22,0,0,Red,f
5095,Talita Bernardo,1,42.66666667,54.66666667,898,Orthodox,162.56,172.72,32,-1,1.333333333,Viviane Araujo,0,,,,Orthodox,162.56,172.72,32,0,0,Blue,f
