Fight_ID,B_fighter,B_current_streak,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_landed,B_total_time_fought(seconds),B_Stance,B_Height_cms,B_Reach_cms,B_age,B_Record,B_Takedown_Diff
5144,Marlon Moraes,4,22.6,18.2,419.4,Orthodox,167.64,170.18,31,3,-0.2
5143,Jessica Eye,3,51.3,48.5,849,Orthodox,167.64,167.64,32,-2,-0.4
5142,Donald Cerrone,3,46.77419355,44.83870968,581.8709677,Orthodox,185.42,185.42,36,15,0.451612903
5141,Petr Yan,4,70.25,31.75,652,Switch,170.18,170.18,26,4,0.5
5140,Blagoy Ivanov,1,61.5,90,1200,Southpaw,180.34,185.42,32,0,0
5139,Nina Ansaroff,4,75.16666667,48.83333333,886.5,Orthodox,165.1,162.56,33,2,-0.833333333
5138,Pedro Munhoz,3,41.5,44.16666667,495.25,Orthodox,167.64,165.1,32,4,0.083333333
5137,Alexa Grasso,-1,53.75,36.75,716,Orthodox,165.1,167.64,25,0,-1.75
5136,Calvin Kattar,1,56.25,74.5,670.75,Orthodox,180.34,182.88,31,2,0.25
5135,Angela Hill,1,74.3,65.1,763.1,Orthodox,160.02,162.56,34,-2,-0.9
5134,Darren Stewart,-1,24.14285714,21.71428571,488.7142857,Orthodox,182.88,187.96,28,-3,-1.285714286
5133,Grigorii Popov,0,,,,Switch,170.18,172.72,35,0,0
5132,Joanne Calderwood,2,61.375,43.375,628.625,Orthodox,167.64,165.1,33,2,0.375
5131,Anthony Smith,-1,33.18181818,47.45454545,625,Orthodox,193.04,193.04,30,3,-1.090909091
5130,Aleksandar Rakic,3,60.33333333,18.33333333,681.6666667,Orthodox,193.04,198.12,27,3,0.333333333
5129,Chris Fishgold,1,17,20.5,310.5,Orthodox,172.72,172.72,26,0,2.5
5128,Christos Giagos,1,19.8,17.2,558.2,Orthodox,177.8,180.34,29,-1,-0.2
5127,Sung Bin Jo,0,,,,Orthodox,182.88,182.88,26,0,0
5126,Sergey Khandozhko,0,,,,Orthodox,185.42,187.96,27,0,0
5125,Lina Lansberg,-1,43.6,63.8,720.4,Orthodox,170.18,165.1,37,-1,-1.6
5124,Leonardo Santos,4,25.16666667,28.83333333,656.3333333,Orthodox,182.88,190.5,39,4,0.5
5123,Frank Camacho,-2,95,102.6666667,727.6666667,Orthodox,177.8,185.42,30,-1,0.666666667
5122,Duda Santana,0,,,,Orthodox,170.18,185.42,23,0,0
5121,Devin Clark,-1,35.5,32.33333333,620.6666667,Orthodox,182.88,190.5,29,0,2
5120,Danilo Belluardo,0,,,,Southpaw,182.88,187.96,24,0,0
5119,Kevin Lee,-1,49.07142857,38.42857143,724.8571429,Orthodox,175.26,195.58,26,6,2.071428571
5118,Ian Heinisch,1,55,26,900,Orthodox,180.34,182.88,30,1,-4
5117,Felicia Spencer,0,,,,Orthodox,167.64,172.72,28,0,0
5116,Derrick Krantz,0,,,,Orthodox,177.8,182.88,31,0,0
5115,Nik Lentz,2,43.90909091,38.13636364,754.9090909,Orthodox,172.72,172.72,34,6,1
5114,Austin Hubbard,0,,,,Orthodox,177.8,180.34,27,0,0
5113,Sijara Eubanks,2,66,38.5,900,,162.56,170.18,34,2,2
5112,Charles Jourdain,0,,,,Switch,175.26,175.26,23,0,0
5111,Michel Pereira,0,,,,Orthodox,185.42,185.42,25,0,0
5110,Grant Dawson,1,57,49,900,Switch,177.8,182.88,25,1,6
5109,Ed Herman,-3,29.71428571,28.28571429,560.4761905,Orthodox,185.42,195.58,38,-1,0.571428571
5108,Trevin Giles,2,55.5,11.5,610.5,Orthodox,182.88,187.96,26,2,1.5
5107,Julian Erosa,-3,32.5,37.25,545,Southpaw,185.42,187.96,29,-2,-1.5
5106,Jessica Andrade,3,72.85714286,55.71428571,663.8571429,Orthodox,154.94,157.48,27,6,1.642857143
5105,Anderson Silva,-1,33.52173913,27,651.2608696,Southpaw,187.96,195.58,44,11,-0.652173913
5104,Alexander Volkanovski,6,72,31,712.8333333,Orthodox,167.64,180.34,30,6,1.666666667
5103,Laureano Staropoli,1,97,69,900,Orthodox,185.42,180.34,26,1,0
5102,Bethe Correia,-2,50.75,45.25,702.375,Orthodox,165.1,162.56,35,0,0.125
5101,Ryan Spann,1,46,30,900,Orthodox,195.58,200.66,27,1,-4
5100,Kurt Holobaugh,-3,54.66666667,49.66666667,573.3333333,Orthodox,180.34,177.8,32,-3,-0.666666667
5099,Sergio Moraes,-1,30.16666667,39.83333333,730.9166667,Orthodox,182.88,182.88,36,4,1
5098,Clay Guida,-1,28.15384615,28.30769231,702.1538462,Orthodox,170.18,177.8,37,2,1.846153846
5097,Priscila Cachoeira,-2,38.5,101,732.5,Orthodox,170.18,165.1,30,-2,-2
5096,Carlos Huachin,0,,,,Southpaw,162.56,170.18,22,0,0
5095,Viviane Araujo,0,,,,Orthodox,162.56,172.72,32,0,0
5094,Donald Cerrone,2,43.73333333,43.33333333,551.2666667,Orthodox,185.42,185.42,36,14,0.466666667
5093,Elias Theodorou,3,57.9,31.1,832.8,Orthodox,185.42,190.5,30,6,-0.3
5092,Shane Burgos,1,71.6,59.8,656.4,Orthodox,180.34,190.5,28,3,0
5091,Merab Dvalishvili,1,56.66666667,33.33333333,900,Orthodox,167.64,172.72,28,-1,6.666666667
5090,Serghei Spivac,0,,,,Orthodox,190.5,198.12,24,0,0
5089,Andrew Sanchez,1,67.4,67.4,838,Orthodox,185.42,187.96,31,1,2.6
5088,Sarah Moras,-2,23.2,40,754.2,,170.18,170.18,31,-1,-0.8
5087,Vince Morales,-1,74,79,900,Orthodox,170.18,177.8,28,-1,-2
5086,Kyle Prepolec,0,,,,Southpaw,177.8,177.8,29,0,0
5085,Matt Sayles,-1,77,73,900,Orthodox,170.18,172.72,25,-1,0
5084,Juan Adams,1,86,41,658,Orthodox,195.58,203.2,27,1,1
5083,Cole Smith,0,,,,Orthodox,180.34,170.18,30,0,0
5082,Jack Hermansson,3,30.875,11.125,378,Orthodox,185.42,195.58,30,4,0.5
5081,Dmitrii Smoliakov,-2,9.5,19.5,349.5,Switch,187.96,187.96,36,-2,-1
5080,Mike Perry,-1,40.44444444,44.66666667,603.1111111,Orthodox,177.8,180.34,27,1,-0.111111111
5079,Ion Cutelaba,2,42.6,29.2,553.8,Southpaw,185.42,190.5,25,1,0.4
5078,Cory Sandhagen,3,54.33333333,16.66666667,366.6666667,Switch,180.34,177.8,27,3,-0.333333333
5077,Thomas Gifford,0,,,,Orthodox,185.42,190.5,26,0,0
5076,Takashi Sato,0,,,,Southpaw,177.8,185.42,28,0,0
5075,Augusto Sakai,1,111,79,843,Orthodox,190.5,195.58,27,1,1
5074,Virna Jandiroba,0,,,,Orthodox,160.02,162.56,30,0,0
5073,Mike Davis,0,,,,Orthodox,182.88,182.88,26,0,0
5072,Jason Gonzalez,-1,12,13.66666667,256.6666667,Southpaw,187.96,187.96,29,-1,-1.666666667
5071,Jodie Esquibel,-2,73,127.5,900,Orthodox,154.94,162.56,32,-2,-0.5
5070,Dhiego Lima,1,15.42857143,17.85714286,361.8571429,Orthodox,187.96,187.96,30,-3,-0.285714286
5069,Aleksei Oleinik,2,17.25,18.5,338.75,Orthodox,187.96,203.2,41,4,0.125
5068,Arman Tsarukyan,0,,,,Orthodox,170.18,182.88,22,0,0
5067,Marcelo Golm,-2,45.66666667,42,642.6666667,Orthodox,190.5,190.5,26,-1,0
5066,Antonina Shevchenko,1,66,33,900,Southpaw,172.72,170.18,34,1,2
5065,Alen Amedovski,0,,,,Orthodox,177.8,187.96,31,0,0
5064,Seungwoo Choi,0,,,,Orthodox,182.88,187.96,26,0,0
5063,Keita Nakamura,1,30.8,49.9,853.6,Southpaw,180.34,185.42,34,-2,0.7
5062,Alex Da Silva,0,,,,Orthodox,172.72,185.42,23,0,0
5061,Shamil Abdurakhimov,2,28.5,26.16666667,700.5,Orthodox,190.5,193.04,37,2,0.5
5060,Michal Oleksiejczuk,1,45,30.5,497,Southpaw,182.88,187.96,24,0,1
5059,Rafael Fiziev,0,,,,Switch,172.72,180.34,26,0,0
5058,Dustin Poirier,3,52.38095238,34.28571429,540.8571429,Southpaw,175.26,182.88,30,11,0.571428571
5057,Israel Adesanya,5,61.2,28.4,821.6,Switch,193.04,203.2,29,5,-1.2
5056,Khalil Rountree Jr.,-1,14.28571429,20.42857143,372.5714286,Southpaw,185.42,193.04,29,-1,-1.428571429
5055,Dwight Grant,1,22.5,15.5,599.5,Switch,185.42,193.04,34,0,-0.5
5054,Nikita Krylov,-2,27.1,12.7,290.8,Orthodox,190.5,195.58,27,2,-1
5053,Matt Frevola,-2,37.5,42.5,480,Orthodox,175.26,180.34,28,-2,0.5
5052,Alexandre Pantoja,2,51.6,40.4,717.8,Orthodox,165.1,170.18,28,3,-2
5051,Zelim Imadaev,0,,,,Orthodox,182.88,193.04,24,0,0
5050,Khalid Taha,-1,32,45,900,Orthodox,165.1,175.26,27,-1,-6
5049,Belal Muhammad,-1,60.375,53.5,792.25,Orthodox,180.34,182.88,30,2,1.75
5048,Andre Soukhamthath,1,42.6,51.4,793.2,Orthodox,175.26,177.8,30,-1,0.8
5047,Poliana Botelho,-1,27.33333333,17,407,Orthodox,172.72,170.18,30,1,-0.333333333
5046,Randy Costa,0,,,,Switch,175.26,185.42,24,0,0
5045,Justin Gaethje,1,87,107.5,611.75,Orthodox,180.34,177.8,30,0,-0.5
5044,Jack Hermansson,2,34.85714286,12.57142857,425,Orthodox,185.42,195.58,30,3,0.428571429
5043,Michael Johnson,2,49.15,45.15,684.45,Southpaw,177.8,185.42,32,2,-0.35
5042,Michelle Waterson,2,45.66666667,40.33333333,687.6666667,Orthodox,160.02,157.48,33,2,1
5041,Paul Craig,-1,18,26,551,Orthodox,190.5,193.04,31,,
5040,Sheymon Moraes,2,41,45.33333333,890,Orthodox,172.72,182.88,28,,
5039,Jessica Aguilar,-1,66,85,730.25,Orthodox,160.02,160.02,36,,
5038,Desmond Green,-1,48.2,33.2,900,Southpaw,177.8,185.42,29,,
5037,Kevin Aguilar,1,86,74,900,Orthodox,170.18,185.42,30,,
5036,Gerald Meerschaert,-1,20,24.83333333,344.6666667,Southpaw,185.42,195.58,31,,
5035,Casey Kenney,0,,,,Southpaw,170.18,172.72,28,,
5034,Maryna Moroz,-1,40.6,50,738,Orthodox,170.18,170.18,27,,
5033,Mark De La Rosa,2,31,28.66666667,573.6666667,Orthodox,167.64,165.1,24,,
5032,Anthony Pettis,-1,35.53333333,43,680.6,Orthodox,177.8,182.88,32,,
5031,Justin Willis,4,52.25,34.75,713.25,Southpaw,185.42,198.12,31,,
5030,Jesus Pinedo,1,60,58,900,,177.8,,22,,
5029,Deiveson Figueiredo,3,26.33333333,17.66666667,654,Orthodox,165.1,172.72,31,,
5028,Steven Peterson,1,73.5,85.5,900,Orthodox,177.8,177.8,28,,
5027,JJ Aldrich,3,55.75,58,900,Southpaw,165.1,170.18,26,,
5026,Bobby Moffett,1,20,30,463,Orthodox,177.8,187.96,28,,
5025,Frankie Saenz,2,58.25,45.125,876.75,Orthodox,167.64,167.64,38,,
5024,Jennifer Maia,-1,42,53,900,Orthodox,162.56,162.56,30,,
5023,Angela Hill,-1,78,72.625,808.375,Orthodox,160.02,162.56,34,,
5022,Chris Gutierrez,-1,26,35,552,Orthodox,175.26,175.26,27,,
5021,Jordan Espinosa,0,,,,Orthodox,167.64,180.34,29,,
5020,Jorge Masvidal,-2,54.46666667,39.06666667,797.7333333,Orthodox,180.34,187.96,34,,
5019,Gunnar Nelson,1,17.63636364,34,548.3636364,Switch,180.34,182.88,30,,
5018,Dominick Reyes,3,43.33333333,16,431.3333333,Southpaw,193.04,195.58,29,,
5017,Jose Quinonez,4,40.8,29,750.8,,172.72,175.26,28,,
5016,Claudio Silva,3,29.33333333,26.66666667,690.3333333,Southpaw,180.34,180.34,36,,
5015,John Phillips,-2,25.5,67,541.5,Southpaw,180.34,190.5,33,,
5014,Jordan Rinaldi,1,12.75,20.75,551.75,Orthodox,177.8,182.88,31,,
5013,Joe Duffy,-1,23.16666667,26,452.6666667,Orthodox,177.8,185.42,31,,
5012,Saparbeg Safarov,-2,22.5,36,354,Orthodox,185.42,198.12,32,,
5011,Dan Ige,2,38.66666667,42.66666667,616.6666667,Orthodox,170.18,180.34,27,,
5010,Priscila Cachoeira,-1,2,95,565,Orthodox,170.18,165.1,30,,
5009,Nad Narimani,2,64.5,39,900,Orthodox,172.72,177.8,31,,
5008,Junior Dos Santos,2,57.5,37.66666667,721.3888889,Orthodox,193.04,195.58,35,,
5007,Curtis Millender,3,58,39,785.6666667,Orthodox,187.96,193.04,31,,
5006,Niko Price,-1,14.85714286,24,356.4285714,Orthodox,182.88,193.04,29,,
5005,Ben Rothwell,-1,27.6,42.9,558.4,Orthodox,193.04,198.12,37,,
5004,Drew Dober,3,39.72727273,37.27272727,536.0909091,Southpaw,172.72,177.8,30,,
5003,Omari Akhmedov,-1,32.88888889,31.88888889,656.4444444,Orthodox,182.88,185.42,31,,
5002,Sergio Moraes,2,31.18181818,38.90909091,715.5454545,Orthodox,182.88,182.88,36,,
5001,Yana Kunitskaya,1,38.5,38,552.5,Orthodox,167.64,172.72,29,,
5000,Julian Erosa,-2,27,30.66666667,426.6666667,Southpaw,185.42,187.96,29,,
4999,Jeff Hughes,0,,,,Orthodox,187.96,198.12,30,,
4998,Matt Schnell,2,34.75,35,572.75,Orthodox,172.72,177.8,29,,
4997,Zak Ottow,1,27.57142857,26.57142857,632,Orthodox,180.34,182.88,32,,
4996,Dan Moret,-1,20,31,359,Southpaw,182.88,185.42,32,,
4995,Anthony Smith,3,32.9,39.7,537.5,Orthodox,193.04,193.04,30,,
4994,Kamaru Usman,9,58.55555556,24.55555556,894.1111111,Switch,182.88,193.04,31,,
4993,Ben Askren,0,,,,Orthodox,180.34,185.42,34,,
4992,Weili Zhang,2,61,21.5,560.5,Switch,162.56,,29,,
4991,Pedro Munhoz,2,43,46.27272727,513.7272727,Orthodox,167.64,165.1,32,,
4990,Zabit Magomedsharipov,4,53.5,28,714.5,Orthodox,185.42,185.42,28,,
4989,Johnny Walker,2,8.5,2,66,Orthodox,195.58,208.28,26,,
4988,Alejandro Perez,4,40.22222222,31.22222222,650.5555556,Orthodox,167.64,170.18,29,,
4987,Mickey Gall,1,7.6,11.4,309.6,Switch,187.96,187.96,27,,
4986,Charles Byrd,-1,24.5,12,337.5,Orthodox,177.8,185.42,35,,
4985,Macy Chiasson,1,24,19,431,,180.34,182.88,27,,
4984,Hannah Cifers,-1,41,68,421,Orthodox,154.94,160.02,26,,
4983,Thiago Santos,3,32.17647059,14,384.2352941,Orthodox,187.96,193.04,35,,
4982,Marcos Rogerio de Lima,1,14.75,7.5,263.5,Orthodox,185.42,190.5,33,,
4981,Michal Oleksiejczuk,-1,76,52,900,Southpaw,182.88,187.96,24,,
4980,Lucie Pudilova,-1,83,75.5,900,Orthodox,172.72,170.18,24,,
4979,Petr Yan,3,67,32.33333333,569.3333333,Switch,170.18,170.18,26,,
4978,Klidson Abreu,0,,,,Orthodox,182.88,187.96,26,,
4977,Carlo Pedersoli,-1,34.5,32.5,469.5,Southpaw,180.34,190.5,25,,
4976,Chris Fishgold,-1,20,24,251,Orthodox,172.72,172.72,26,,
4975,Gillian Robertson,-1,10,10,284,,165.1,160.02,23,,
4974,Polo Reyes,1,45.8,31.4,410.6,,180.34,180.34,34,,
4973,Ismail Naurdiev,0,,,,Orthodox,177.8,187.96,22,,
4972,Diego Ferreira,3,31.57142857,21.85714286,425.2857143,Orthodox,175.26,187.96,34,,
4971,Joel Alvarez,0,,,,Orthodox,190.5,195.58,24,,
4970,Cain Velasquez,1,51.28571429,18.57142857,474,Orthodox,185.42,195.58,36,,
4969,Paul Felder,-1,40.36363636,34,688.8181818,Orthodox,180.34,177.8,34,,
4968,Cynthia Calvillo,1,35.4,32.2,622.4,Orthodox,162.56,162.56,31,,
4967,Kron Gracie,0,,,,Southpaw,175.26,177.8,30,,
4966,Bryan Barberena,1,54.375,40.5,655.75,Southpaw,182.88,182.88,29,,
4965,Myles Jury,-1,22.81818182,12.90909091,524,Orthodox,177.8,185.42,30,,
4964,Aljamain Sterling,2,47.81818182,17.54545455,737.0909091,Orthodox,170.18,180.34,29,,
4963,Manny Bermudez,2,7.5,11.5,256,Orthodox,177.8,180.34,24,,
4962,Andrea Lee,1,56,24,900,Orthodox,167.64,175.26,30,,
4961,Nik Lentz,1,42.61904762,37.38095238,748,Orthodox,172.72,172.72,34,,
4960,Luke Sanders,-1,40.8,24.8,413.6,Southpaw,167.64,170.18,33,,
4959,Emily Whitmire,1,31,26,516,,165.1,160.02,27,,
4958,Anderson Silva,1,33.63636364,25.27272727,639.9545455,Southpaw,187.96,195.58,43,,
4957,Marcos Mariano,0,,,,Switch,185.42,,32,,
4956,Ricky Simon,2,29.5,51.5,900,Orthodox,167.64,175.26,26,,
4955,Nadia Kassem,1,52,45,900,Southpaw,165.1,167.64,23,,
4954,Sam Alvey,-1,30.4375,30.875,570,Southpaw,187.96,190.5,32,,
4953,Dong Hyun Ma,3,40.6,48.8,645.8,Orthodox,180.34,177.8,30,,
4952,Austin Arnett,1,43,61.66666667,776,Orthodox,182.88,182.88,27,,
4951,Raulian Paiva,0,,,,Orthodox,172.72,175.26,23,,
