Fight_ID,R_fighter,B_fighter,Winner,title_bout,B_current_streak,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_landed,B_total_time_fought(seconds),B_Stance,B_Height_cms,B_Reach_cms,R_streak,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_landed,R_total_time_fought(seconds),R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age,R_Record,B_Record,B_Takedown_Diff,R_Takedown_Diff
5144,Henry Cejudo,Marlon Moraes,Red,TRUE,4,22.6,18.2,419.4,Orthodox,167.64,170.18,4,44,32.2,742.6,Orthodox,162.56,162.56,31,32,6,3,-0.2,1.8
5143,Valentina Shevchenko,Jessica Eye,Red,TRUE,3,51.3,48.5,849,Orthodox,167.64,167.64,2,59.42857143,44.71428571,1062,Southpaw,165.1,167.64,32,31,3,-2,-0.4,1.571428571
5142,Tony Ferguson,Donald Cerrone,Red,FALSE,3,46.77419355,44.83870968,581.8709677,Orthodox,185.42,185.42,11,55.46666667,35.73333333,604.4,Orthodox,180.34,193.04,36,35,13,15,0.451612903,-0.266666667
5141,Jimmie Rivera,Petr Yan,Blue,FALSE,4,70.25,31.75,652,Switch,170.18,170.18,-1,45.75,44.875,690.25,Orthodox,162.56,172.72,26,29,4,4,0.5,0.625
5140,Tai Tuivasa,Blagoy Ivanov,Blue,FALSE,1,61.5,90,1200,Southpaw,180.34,185.42,-1,32.5,22.5,440.75,Southpaw,187.96,190.5,32,26,2,0,0,0
5139,Tatiana Suarez,Nina Ansaroff,Red,FALSE,4,75.16666667,48.83333333,886.5,Orthodox,165.1,162.56,4,42.75,6.5,540,,165.1,167.64,33,28,4,2,-0.833333333,4.5
5138,Aljamain Sterling,Pedro Munhoz,Red,FALSE,3,41.5,44.16666667,495.25,Orthodox,167.64,165.1,3,52.25,18.08333333,750.6666667,Orthodox,170.18,180.34,32,29,6,4,0.083333333,0.666666667
5137,Karolina Kowalkiewicz,Alexa Grasso,Blue,FALSE,-1,53.75,36.75,716,Orthodox,165.1,167.64,-2,73.55555556,67.33333333,800.1111111,Orthodox,160.02,162.56,25,33,1,0,-1.75,-0.666666667
5136,Ricardo Lamas,Calvin Kattar,Blue,FALSE,1,56.25,74.5,670.75,Orthodox,180.34,182.88,1,32.26666667,29.26666667,624.0666667,Orthodox,172.72,180.34,31,37,5,2,0.25,-0.066666667
5135,Yan Xiaonan,Angela Hill,Red,FALSE,1,74.3,65.1,763.1,Orthodox,160.02,162.56,3,105.6666667,60.66666667,900,Orthodox,165.1,160.02,34,29,3,-2,-0.9,-0.666666667
