Fight_ID,R_fighter,B_fighter,Winner,title_bout
5144,Henry Cejudo,Marlon Moraes,Red,TRUE
5143,Valentina Shevchenko,Jessica Eye,Red,TRUE
5142,Tony Ferguson,Donald Cerrone,Red,FALSE
5141,Jimmie Rivera,Petr Yan,Blue,FALSE
5140,Tai Tuivasa,Blagoy Ivanov,Blue,FALSE
5139,Tatiana Suarez,Nina Ansaroff,Red,FALSE
5138,Aljamain Sterling,Pedro Munhoz,Red,FALSE
5137,Karolina Kowalkiewicz,Alexa Grasso,Blue,FALSE
5136,Ricardo Lamas,Calvin Kattar,Blue,FALSE
5135,Yan Xiaonan,Angela Hill,Red,FALSE
5134,Bevon Lewis,Darren Stewart,Blue,FALSE
5133,Eddie Wineland,Grigorii Popov,Red,FALSE
5132,Katlyn Chookagian,Joanne Calderwood,Red,FALSE
5131,Alexander Gustafsson,Anthony Smith,Blue,FALSE
5130,Jimi Manuwa,Aleksandar Rakic,Blue,FALSE
5129,Makwan Amirkhani,Chris Fishgold,Red,FALSE
5128,Damir Hadzovic,Christos Giagos,Blue,FALSE
5127,Daniel Teymur,Sung Bin Jo,Red,FALSE
5126,Rostem Akman,Sergey Khandozhko,Blue,FALSE
5125,Tonya Evinger,Lina Lansberg,Blue,FALSE
5124,Stevie Ray,Leonardo Santos,Blue,FALSE
5123,Nick Hein,Frank Camacho,Blue,FALSE
5122,Bea Malecki,Duda Santana,Red,FALSE
5121,Darko Stosic,Devin Clark,Blue,FALSE
5120,Joel Alvarez,Danilo Belluardo,Red,FALSE
5119,Rafael Dos Anjos,Kevin Lee,Red,FALSE
5118,Antonio Carlos Junior,Ian Heinisch,Blue,FALSE
5117,Megan Anderson,Felicia Spencer,Blue,FALSE
5116,Vicente Luque,Derrick Krantz,Red,FALSE
5115,Charles Oliveira,Nik Lentz,Red,FALSE
5114,Davi Ramos,Austin Hubbard,Red,FALSE
5113,Aspen Ladd,Sijara Eubanks,Red,FALSE
5112,Desmond Green,Charles Jourdain,Red,FALSE
5111,Danny Roberts,Michel Pereira,Blue,FALSE
5110,Michael Trizano,Grant Dawson,Blue,FALSE
5109,Patrick Cummins,Ed Herman,Blue,FALSE
5108,Zak Cummings,Trevin Giles,Red,FALSE
5107,Julio Arce,Julian Erosa,Red,FALSE
5106,Rose Namajunas,Jessica Andrade,Blue,TRUE
5105,Jared Cannonier,Anderson Silva,Red,FALSE
5104,Jose Aldo,Alexander Volkanovski,Blue,FALSE
5103,Thiago Alves,Laureano Staropoli,Blue,FALSE
5102,Irene Aldana,Bethe Correia,Red,FALSE
5101,Rogerio Nogueira,Ryan Spann,Blue,FALSE
5100,Thiago Moises,Kurt Holobaugh,Red,FALSE
5099,Warlley Alves,Sergio Moraes,Red,FALSE
5098,BJ Penn,Clay Guida,Blue,FALSE
5097,Luana Carolina,Priscila Cachoeira,Red,FALSE
5096,Raoni Barcelos,Carlos Huachin,Red,FALSE
5095,Talita Bernardo,Viviane Araujo,Blue,FALSE
5094,Al Iaquinta,Donald Cerrone,Blue,FALSE
5093,Derek Brunson,Elias Theodorou,Red,FALSE
5092,Cub Swanson,Shane Burgos,Blue,FALSE
5091,Brad Katona,Merab Dvalishvili,Blue,FALSE
5090,Walt Harris,Serghei Spivac,Red,FALSE
5089,Marc-Andre Barriault,Andrew Sanchez,Blue,FALSE
5088,Macy Chiasson,Sarah Moras,Red,FALSE
5087,Aiemann Zahabi,Vince Morales,Blue,FALSE
5086,Nordine Taleb,Kyle Prepolec,Red,FALSE
5085,Kyle Nelson,Matt Sayles,Blue,FALSE
5084,Arjan Bhullar,Juan Adams,Red,FALSE
5083,Mitch Gagnon,Cole Smith,Blue,FALSE
5082,Jacare Souza,Jack Hermansson,Blue,FALSE
5081,Greg Hardy,Dmitrii Smoliakov,Red,FALSE
5080,Alex Oliveira,Mike Perry,Blue,FALSE
5079,Glover Teixeira,Ion Cutelaba,Red,FALSE
5078,John Lineker,Cory Sandhagen,Blue,FALSE
5077,Roosevelt Roberts,Thomas Gifford,Red,FALSE
5076,Ben Saunders,Takashi Sato,Blue,FALSE
5075,Andrei Arlovski,Augusto Sakai,Blue,FALSE
5074,Carla Esparza,Virna Jandiroba,Red,FALSE
5073,Gilbert Burns,Mike Davis,Red,FALSE
5072,Jim Miller,Jason Gonzalez,Red,FALSE
