Fight_ID,R_fighter,R_streak,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_landed,R_total_time_fought(seconds),R_Stance,R_Height_cms,R_Reach_cms,R_age,R_Record,R_Takedown_Diff
5144,Henry Cejudo,4,44,32.2,742.6,Orthodox,162.56,162.56,32,6,1.8
5143,Valentina Shevchenko,2,59.42857143,44.71428571,1062,Southpaw,165.1,167.64,31,3,1.571428571
5142,Tony Ferguson,11,55.46666667,35.73333333,604.4,Orthodox,180.34,193.04,35,13,-0.266666667
5141,Jimmie Rivera,-1,45.75,44.875,690.25,Orthodox,162.56,172.72,29,4,0.625
5140,Tai Tuivasa,-1,32.5,22.5,440.75,Southpaw,187.96,190.5,26,2,0
5139,Tatiana Suarez,4,42.75,6.5,540,,165.1,167.64,28,4,4.5
5138,Aljamain Sterling,3,52.25,18.08333333,750.6666667,Orthodox,170.18,180.34,29,6,0.666666667
5137,Karolina Kowalkiewicz,-2,73.55555556,67.33333333,800.1111111,Orthodox,160.02,162.56,33,1,-0.666666667
5136,Ricardo Lamas,1,32.26666667,29.26666667,624.0666667,Orthodox,172.72,180.34,37,5,-0.066666667
5135,Yan Xiaonan,3,105.6666667,60.66666667,900,Orthodox,165.1,160.02,29,3,-0.666666667
5134,Bevon Lewis,-1,68,39,692,Orthodox,190.5,200.66,28,-1,0
5133,Eddie Wineland,-2,35.75,43.5,668,Orthodox,170.18,175.26,34,-2,-0.083333333
5132,Katlyn Chookagian,-1,61.16666667,63.16666667,900,Orthodox,175.26,172.72,30,2,-1.166666667
5131,Alexander Gustafsson,-1,44.2,38.66666667,660.8666667,Orthodox,195.58,200.66,32,5,0.733333333
5130,Jimi Manuwa,-3,26.09090909,30.27272727,455.7272727,Orthodox,185.42,200.66,39,1,-0.545454545
5129,Makwan Amirkhani,1,16.4,15,561.8,Southpaw,177.8,182.88,30,3,1.8
5128,Damir Hadzovic,2,34.8,30.2,610.8,Orthodox,175.26,177.8,32,1,-2.2
5127,Daniel Teymur,-3,41,56.66666667,681.6666667,Orthodox,165.1,175.26,31,-3,-1.666666667
5126,Rostem Akman,0,,,,Switch,177.8,182.88,27,0,0
5125,Tonya Evinger,-2,20.5,62,461,Orthodox,170.18,177.8,37,-2,0.5
5124,Stevie Ray,1,40.22222222,29.22222222,686.8888889,Southpaw,177.8,177.8,29,3,-0.777777778
5123,Nick Hein,-2,34.14285714,39.42857143,807.8571429,Southpaw,167.64,167.64,35,1,0.428571429
5122,Bea Malecki,0,,,,Orthodox,175.26,187.96,27,0,0
5121,Darko Stosic,1,9,4,193,Orthodox,182.88,193.04,27,1,0
5120,Joel Alvarez,-1,38,64,900,Orthodox,190.5,195.58,25,-1,0
5119,Rafael Dos Anjos,-2,47.92307692,44.03846154,794.7692308,Southpaw,172.72,177.8,34,8,0.230769231
5118,Antonio Carlos Junior,4,23,19.44444444,634.2222222,Orthodox,187.96,200.66,29,3,2.222222222
5117,Megan Anderson,1,14.5,25,480.5,Orthodox,182.88,182.88,29,0,-2
5116,Vicente Luque,4,38.8,35.3,453.4,Orthodox,180.34,190.5,27,6,-0.4
5115,Charles Oliveira,4,20.56521739,20.26086957,400.5652174,Orthodox,177.8,187.96,29,5,0.695652174
5114,Davi Ramos,3,25,21.75,480.5,Orthodox,167.64,177.8,32,2,1.75
5113,Aspen Ladd,2,38,25,329.5,Orthodox,167.64,167.64,24,2,0.5
5112,Desmond Green,1,44.33333333,29.66666667,778.6666667,Southpaw,177.8,185.42,29,0,0
5111,Danny Roberts,-1,30.875,28,541.625,Southpaw,185.42,187.96,31,2,-1.75
5110,Michael Trizano,2,46.5,26,900,Orthodox,180.34,180.34,27,2,-0.5
5109,Patrick Cummins,-2,39.66666667,31.66666667,565.8333333,Orthodox,187.96,193.04,38,0,1.583333333
5108,Zak Cummings,1,28.9,28.4,619.3,Southpaw,182.88,190.5,34,4,0
