Henry Cejudo,Marlon Moraes,Red,5,0,4,1,4,Orthodox,167.64,170.18,0,4,2,8,Orthodox,162.56,162.56,31,32
Valentina Shevchenko,Jessica Eye,Red,5,0,3,6,4,Orthodox,167.64,167.64,0,2,2,5,Southpaw,165.1,167.64,32,31
Tony Ferguson,Donald Cerrone,Red,3,0,3,8,23,Orthodox,185.42,185.42,0,11,1,14,Orthodox,180.34,193.04,36,35
Jimmie Rivera,Petr Yan,Blue,3,0,4,0,4,Switch,170.18,170.18,1,0,2,6,Orthodox,162.56,172.72,26,29
Tai Tuivasa,Blagoy Ivanov,Blue,3,0,1,1,1,Southpaw,180.34,185.42,1,0,1,3,Southpaw,187.96,190.5,32,26
Tatiana Suarez,Nina Ansaroff,Red,3,0,4,2,4,Orthodox,165.1,162.56,0,4,0,4,,165.1,167.64,33,28
Aljamain Sterling,Pedro Munhoz,Red,3,0,3,4,8,Orthodox,167.64,165.1,0,3,3,9,Orthodox,170.18,180.34,32,29
Karolina Kowalkiewicz,Alexa Grasso,Blue,3,1,0,2,2,Orthodox,165.1,167.64,2,0,4,5,Orthodox,160.02,162.56,25,33
Ricardo Lamas,Calvin Kattar,Blue,3,0,1,1,3,Orthodox,180.34,182.88,0,1,5,10,Orthodox,172.72,180.34,31,37
Yan Xiaonan,Angela Hill,Red,3,0,1,6,4,Orthodox,160.02,162.56,0,3,0,3,Orthodox,165.1,160.02,34,29
Bevon Lewis,Darren Stewart,Blue,3,1,0,5,2,Orthodox,182.88,187.96,1,0,1,0,Orthodox,190.5,200.66,28,28
Eddie Wineland,Grigorii Popov,Red,3,0,0,0,0,Switch,170.18,172.72,2,0,7,5,Orthodox,170.18,175.26,35,34
Katlyn Chookagian,Joanne Calderwood,Red,3,0,2,3,5,Orthodox,167.64,165.1,1,0,2,4,Orthodox,175.26,172.72,33,30
Alexander Gustafsson,Anthony Smith,Blue,5,1,0,4,7,Orthodox,193.04,193.04,1,0,5,10,Orthodox,195.58,200.66,30,32
Jimi Manuwa,Aleksandar Rakic,Blue,3,0,3,0,3,Orthodox,193.04,198.12,3,0,5,6,Orthodox,185.42,200.66,27,39
Makwan Amirkhani,Chris Fishgold,Red,3,0,1,1,1,Orthodox,172.72,172.72,0,1,1,4,Southpaw,177.8,182.88,26,30
Damir Hadzovic,Christos Giagos,Blue,3,0,1,3,2,Orthodox,177.8,180.34,0,2,2,3,Orthodox,175.26,177.8,29,32
Daniel Teymur,Sung Bin Jo,Red,3,0,0,0,0,Orthodox,182.88,182.88,3,0,3,0,Orthodox,165.1,175.26,26,31
Rostem Akman,Sergey Khandozhko,Blue,3,0,0,0,0,Orthodox,185.42,187.96,0,0,0,0,Switch,177.8,182.88,27,27
Tonya Evinger,Lina Lansberg,Blue,3,1,0,3,2,Orthodox,170.18,165.1,2,0,2,0,Orthodox,170.18,177.8,37,37
Stevie Ray,Leonardo Santos,Blue,3,0,4,1,5,Orthodox,182.88,190.5,0,1,3,6,Southpaw,177.8,177.8,39,29
Nick Hein,Frank Camacho,Blue,3,2,0,2,1,Orthodox,177.8,185.42,2,0,3,4,Southpaw,167.64,167.64,30,35
Bea Malecki,Duda Santana,Red,3,0,0,0,0,Orthodox,170.18,185.42,0,0,0,0,Orthodox,175.26,187.96,23,27
Darko Stosic,Devin Clark,Blue,3,1,0,3,3,Orthodox,182.88,190.5,0,1,0,1,Orthodox,182.88,193.04,29,27
Joel Alvarez,Danilo Belluardo,Red,3,0,0,0,0,Southpaw,182.88,187.96,1,0,1,0,Orthodox,190.5,195.58,24,25
Rafael Dos Anjos,Kevin Lee,Red,5,1,0,4,10,Orthodox,175.26,195.58,2,0,9,17,Southpaw,172.72,177.8,26,34
Antonio Carlos Junior,Ian Heinisch,Blue,3,0,1,0,1,Orthodox,180.34,182.88,0,4,3,6,Orthodox,187.96,200.66,30,29
Megan Anderson,Felicia Spencer,Blue,3,0,0,0,0,Orthodox,167.64,172.72,0,1,1,1,Orthodox,182.88,182.88,28,29
Vicente Luque,Derrick Krantz,Red,3,0,0,0,0,Orthodox,177.8,182.88,0,4,2,8,Orthodox,180.34,190.5,31,27
Charles Oliveira,Nik Lentz,Red,3,0,2,8,14,Orthodox,172.72,172.72,0,4,9,14,Orthodox,177.8,187.96,34,29
Davi Ramos,Austin Hubbard,Red,3,0,0,0,0,Orthodox,177.8,180.34,0,3,1,3,Orthodox,167.64,177.8,27,32
Aspen Ladd,Sijara Eubanks,Red,3,0,2,0,2,,162.56,170.18,0,2,0,2,Orthodox,167.64,167.64,34,24
Desmond Green,Charles Jourdain,Red,3,0,0,0,0,Switch,175.26,175.26,0,1,3,3,Southpaw,177.8,185.42,23,29
Danny Roberts,Michel Pereira,Blue,3,0,0,0,0,Orthodox,185.42,185.42,1,0,3,5,Southpaw,185.42,187.96,25,31
Michael Trizano,Grant Dawson,Blue,3,0,1,0,1,Switch,177.8,182.88,0,2,0,2,Orthodox,180.34,180.34,25,27
Patrick Cummins,Ed Herman,Blue,3,3,0,11,10,Orthodox,185.42,195.58,2,0,6,6,Orthodox,187.96,193.04,38,38
Zak Cummings,Trevin Giles,Red,3,0,2,0,2,Orthodox,182.88,187.96,0,1,3,7,Southpaw,182.88,190.5,26,34
Julio Arce,Julian Erosa,Red,3,3,0,3,1,Southpaw,185.42,187.96,1,0,1,2,Southpaw,170.18,177.8,29,29
Rose Namajunas,Jessica Andrade,Blue,5,0,3,4,10,Orthodox,154.94,157.48,0,3,2,6,Orthodox,165.1,165.1,27,26
Jared Cannonier,Anderson Silva,Red,3,1,0,6,17,Southpaw,187.96,195.58,0,1,4,4,Switch,180.34,195.58,44,35
Jose Aldo,Alexander Volkanovski,Blue,3,0,6,0,6,Orthodox,167.64,180.34,0,2,3,10,Orthodox,170.18,177.8,30,32
Thiago Alves,Laureano Staropoli,Blue,3,0,1,0,1,Orthodox,185.42,180.34,0,1,10,15,Orthodox,175.26,177.8,26,35
Irene Aldana,Bethe Correia,Red,3,2,0,4,4,Orthodox,165.1,162.56,0,2,2,2,Orthodox,175.26,172.72,35,31
Rogerio Nogueira,Ryan Spann,Blue,3,0,1,0,1,Orthodox,195.58,200.66,0,1,5,6,Southpaw,187.96,190.5,27,42
Thiago Moises,Kurt Holobaugh,Red,3,3,0,3,0,Orthodox,180.34,177.8,1,0,1,0,Orthodox,175.26,177.8,32,24
Warlley Alves,Sergio Moraes,Red,3,1,0,4,8,Orthodox,182.88,182.88,1,0,3,6,Orthodox,180.34,182.88,36,28
BJ Penn,Clay Guida,Blue,3,1,0,12,14,Orthodox,170.18,177.8,7,0,14,12,Orthodox,175.26,177.8,37,40
Luana Carolina,Priscila Cachoeira,Red,3,2,0,2,0,Orthodox,170.18,165.1,0,0,0,0,Orthodox,167.64,175.26,30,25
Raoni Barcelos,Carlos Huachin,Red,3,0,0,0,0,Southpaw,162.56,170.18,0,2,0,2,Orthodox,170.18,170.18,22,32
Talita Bernardo,Viviane Araujo,Blue,3,0,0,0,0,Orthodox,162.56,172.72,0,1,2,1,Orthodox,162.56,172.72,32,32
